2013-339,Finals,1,1,Andy Murray,mc10,andy-murray,Grigor Dimitrov,d875,grigor-dimitrov,76 64,2,0,13,10,1,0,2013-339-mc10-d875
2013-339,Semi-Finals,2,1,Andy Murray,mc10,andy-murray,Kei Nishikori,n552,kei-nishikori,64 20 (RET),2,0,8,4,0,0,2013-339-mc10-n552
2013-339,Semi-Finals,2,2,Grigor Dimitrov,d875,grigor-dimitrov,Marcos Baghdatis,b837,marcos-baghdatis,63 57 76(5),2,1,18,16,1,0,2013-339-d875-b837
2013-339,Quarter-Finals,3,1,Andy Murray,mc10,andy-murray,Denis Istomin,i165,denis-istomin,64 76(3),2,0,13,10,1,0,2013-339-mc10-i165
2013-339,Quarter-Finals,3,2,Marcos Baghdatis,b837,marcos-baghdatis,Gilles Simon,sd32,gilles-simon,63 64,2,0,12,7,0,0,2013-339-b837-sd32
2013-339,Quarter-Finals,3,3,Kei Nishikori,n552,kei-nishikori,Alexandr Dolgopolov,d801,alexandr-dolgopolov,64 76(3),2,0,13,10,1,0,2013-339-n552-d801
2013-339,Quarter-Finals,3,4,Grigor Dimitrov,d875,grigor-dimitrov,Jurgen Melzer,m762,jurgen-melzer,63 62,2,0,12,5,0,0,2013-339-d875-m762
2013-339,Round of 16,4,1,Andy Murray,mc10,andy-murray,John Millman,mh30,john-millman,61 57 63,2,1,17,11,0,0,2013-339-mc10-mh30
2013-339,Round of 16,4,2,Grigor Dimitrov,d875,grigor-dimitrov,Milos Raonic,r975,milos-raonic,63 64,2,0,12,7,0,0,2013-339-d875-r975
2013-339,Round of 16,4,3,Gilles Simon,sd32,gilles-simon,Alejandro Falla,f444,alejandro-falla,76(5) 76(5),2,0,14,12,2,0,2013-339-sd32-f444
2013-339,Round of 16,4,4,Alexandr Dolgopolov,d801,alexandr-dolgopolov,Jarkko Nieminen,n289,jarkko-nieminen,62 41 (RET),2,0,10,3,0,0,2013-339-d801-n289
2013-339,Round of 16,4,5,Kei Nishikori,n552,kei-nishikori,Tommy Robredo,r419,tommy-robredo,63 63,2,0,12,6,0,0,2013-339-n552-r419
2013-339,Round of 16,4,6,Marcos Baghdatis,b837,marcos-baghdatis,Florian Mayer,mb02,florian-mayer,64 62,2,0,12,6,0,0,2013-339-b837-mb02
2013-339,Round of 16,4,7,Jurgen Melzer,m762,jurgen-melzer,David Goffin,gb88,david-goffin,64 76(4),2,0,13,10,1,0,2013-339-m762-gb88
2013-339,Round of 16,4,8,Denis Istomin,i165,denis-istomin,Lleyton Hewitt,h432,lleyton-hewitt,75 75,2,0,14,10,0,0,2013-339-i165-h432
2013-339,Round of 32,5,1,Kei Nishikori,n552,kei-nishikori,Marinko Matosevic,me05,marinko-matosevic,75 62,2,0,13,7,0,0,2013-339-n552-me05
2013-339,Round of 32,5,2,Florian Mayer,mb02,florian-mayer,Santiago Giraldo,g725,santiago-giraldo,64 64,2,0,12,8,0,0,2013-339-mb02-g725
2013-339,Round of 32,5,3,Jurgen Melzer,m762,jurgen-melzer,Denis Kudla,kb09,denis-kudla,26 64 64,2,1,14,14,0,0,2013-339-m762-kb09
2013-339,Round of 32,5,4,Denis Istomin,i165,denis-istomin,Martin Klizan,k966,martin-klizan,61 62,2,0,12,3,0,0,2013-339-i165-k966
2013-339,Round of 32,5,5,Marcos Baghdatis,b837,marcos-baghdatis,Benjamin Mitchell,mk40,benjamin-mitchell,64 64,2,0,12,8,0,0,2013-339-b837-mk40
2013-339,Round of 32,5,6,Grigor Dimitrov,d875,grigor-dimitrov,Brian Baker,ba23,brian-baker,63 76(8),2,0,13,9,1,0,2013-339-d875-ba23
2013-339,Round of 32,5,7,Alejandro Falla,f444,alejandro-falla,Jesse Levine,l799,jesse-levine,61 76(8),2,0,13,7,1,0,2013-339-f444-l799
2013-339,Round of 32,5,8,David Goffin,gb88,david-goffin,Matthew Ebden,e690,matthew-ebden,62 62,2,0,12,4,0,0,2013-339-gb88-e690
2013-339,Round of 32,5,9,Lleyton Hewitt,h432,lleyton-hewitt,Igor Kunitsyn,k403,igor-kunitsyn,63 46 62,2,1,16,11,0,0,2013-339-h432-k403
2013-339,Round of 32,5,10,John Millman,mh30,john-millman,Tatsuma Ito,i230,tatsuma-ito,64 61,2,0,12,5,0,0,2013-339-mh30-i230
2013-339,Round of 32,5,11,Jarkko Nieminen,n289,jarkko-nieminen,Julien Benneteau,b747,julien-benneteau,63 26 61,2,1,14,10,0,0,2013-339-n289-b747
2013-339,Round of 32,5,12,Tommy Robredo,r419,tommy-robredo,Ryan Harrison,h940,ryan-harrison,64 76(4),2,0,13,10,1,0,2013-339-r419-h940
2013-339,3rd Round Qualifying,6,1,Ryan Harrison,h940,ryan-harrison,Ivo Minar,ma41,ivo-minar,64 61,2,0,12,5,0,0,2013-339-h940-ma41
2013-339,3rd Round Qualifying,6,2,Jesse Levine,l799,jesse-levine,Steve Johnson,j386,steve-johnson,76(4) 63,2,0,13,9,1,0,2013-339-l799-j386
2013-339,3rd Round Qualifying,6,3,Denis Kudla,kb09,denis-kudla,Igor Kunitsyn,k403,igor-kunitsyn,64 16 63,2,1,13,13,0,0,2013-339-kb09-k403
2013-339,3rd Round Qualifying,6,4,John Millman,mh30,john-millman,Donald Young,y124,donald-young,64 62,2,0,12,6,0,0,2013-339-mh30-y124
2013-339,2nd Round Qualifying,7,1,Ryan Harrison,h940,ryan-harrison,Bastian Knittel,k624,bastian-knittel,75 64,2,0,13,9,0,0,2013-339-h940-k624
2013-339,2nd Round Qualifying,7,2,Jesse Levine,l799,jesse-levine,Frank Dancevic,d499,frank-dancevic,75 36 62,2,1,16,13,0,0,2013-339-l799-d499
2013-339,2nd Round Qualifying,7,3,Denis Kudla,kb09,denis-kudla,Ricardas Berankis,be90,ricardas-berankis,76 36 64,2,1,16,16,1,0,2013-339-kb09-be90
2013-339,2nd Round Qualifying,7,4,John Millman,mh30,john-millman,Alex Bogomolov Jr.,b842,alex-bogomolov-jr,75 63,2,0,13,8,0,0,2013-339-mh30-b842
2013-339,2nd Round Qualifying,7,5,Steve Johnson,j386,steve-johnson,Hiroki Moriya,mi01,hiroki-moriya,62 46 75,2,1,17,13,0,0,2013-339-j386-mi01
2013-339,2nd Round Qualifying,7,6,Igor Kunitsyn,k403,igor-kunitsyn,James Duckworth,d994,james-duckworth,67(8) 62 63,2,1,18,12,0,1,2013-339-k403-d994
2013-339,2nd Round Qualifying,7,7,Ivo Minar,ma41,ivo-minar,Di Wu,w571,di-wu,64 64,2,0,12,8,0,0,2013-339-ma41-w571
2013-339,2nd Round Qualifying,7,8,Donald Young,y124,donald-young,Mischa Zverev,z168,mischa-zverev,75 62,2,0,13,7,0,0,2013-339-y124-z168
2013-339,1st Round Qualifying,8,1,Igor Kunitsyn,k403,igor-kunitsyn,Gilles Muller,ma30,gilles-muller,61 46 76(4),2,1,17,13,1,0,2013-339-k403-ma30
2013-339,1st Round Qualifying,8,2,Ryan Harrison,h940,ryan-harrison,Ivan Sergeyev,se69,ivan-sergeyev,63 62,2,0,12,5,0,0,2013-339-h940-se69
2013-339,1st Round Qualifying,8,3,Donald Young,y124,donald-young,Olivier Rochus,r397,olivier-rochus,63 64,2,0,12,7,0,0,2013-339-y124-r397
2013-339,1st Round Qualifying,8,4,Jesse Levine,l799,jesse-levine,Aleksandr Nedovyesov,n503,aleksandr-nedovyesov,64 63,2,0,12,7,0,0,2013-339-l799-n503
2013-339,1st Round Qualifying,8,5,Ricardas Berankis,be90,ricardas-berankis,Dominik Meffert,m836,dominik-meffert,75 76(3),2,0,14,11,1,0,2013-339-be90-m836
