1991-7308-k181-l206,1:20:00,80,3,0,0,65,29,46,12,19,0,2,41,65,12,36,20,33,4,7,11,11,32,69,73,134,1,0,36,69,24,36,13,33,3,7,37,69,17,46,7,19,2,2,11,11,24,65,61,134
1991-7308-k181-s351,1:29:00,89,1,2,44,65,31,44,12,21,2,5,43,65,16,47,21,36,4,7,12,12,37,83,80,148,12,5,47,83,31,47,15,36,3,7,46,83,13,44,9,21,3,5,12,12,22,65,68,148
1991-7308-k181-s424,0:55:00,55,0,1,17,36,11,17,13,19,1,3,24,36,15,29,19,25,7,10,7,8,34,54,58,90,2,2,29,54,14,29,6,25,3,10,20,54,6,17,6,19,2,3,8,7,12,36,32,90
1991-7308-a031-s331,1:09:00,69,2,3,44,58,28,44,7,14,6,8,35,58,7,24,20,32,5,9,9,9,27,56,62,114,3,4,24,56,17,24,12,32,4,9,29,56,16,44,7,14,2,8,9,9,23,58,52,114
1991-7308-k030-w136,1:29:00,89,6,3,37,71,25,37,19,34,1,3,44,71,16,36,16,28,5,10,10,10,32,64,76,135,4,2,36,64,20,36,12,28,5,10,32,64,12,37,15,34,2,3,10,10,27,71,59,135
1991-7308-l206-z006,1:49:00,109,10,0,0,87,40,52,25,35,0,0,65,87,9,56,15,35,0,0,12,12,24,91,89,178,13,1,56,91,47,56,20,35,0,0,67,91,12,52,10,35,0,0,12,12,22,87,89,178
1991-7308-s351-c243,1:44:00,104,7,4,37,80,26,37,27,43,5,6,53,80,11,40,13,31,2,3,11,11,24,71,77,151,2,2,40,71,29,40,18,31,1,3,47,71,11,37,16,43,1,6,11,11,27,80,74,151
1991-7308-s351-a031,1:30:00,90,5,2,45,74,34,45,18,29,2,4,52,74,18,57,12,24,3,7,14,13,30,81,82,155,2,2,57,81,39,57,12,24,4,7,51,81,11,45,11,29,2,4,13,14,22,74,73,155
1991-7308-s351-b051,1:20:00,80,6,4,30,63,24,30,18,33,4,5,42,63,16,42,15,22,4,6,10,9,31,64,73,127,2,2,42,64,26,42,7,22,2,6,33,64,6,30,15,33,1,5,9,10,21,63,54,127
1991-7308-c243-h223,1:21:00,81,2,0,0,55,24,37,14,18,2,4,38,55,15,36,14,28,4,10,10,10,29,64,67,119,2,3,36,64,21,36,14,28,6,10,35,64,13,37,4,18,2,4,10,10,17,55,52,119
1991-7308-l206-k030,1:59:00,119,11,0,0,97,54,65,14,32,1,2,68,97,9,54,21,42,1,8,15,15,30,96,98,193,9,4,54,96,45,54,21,42,7,8,66,96,11,65,18,32,1,2,15,15,29,97,95,193
1991-7308-k181-g182,1:35:00,95,3,2,35,73,26,35,23,38,1,2,49,73,24,58,13,22,5,12,12,12,37,80,86,153,2,0,58,80,34,58,9,22,7,12,43,80,9,35,15,38,1,2,12,12,24,73,67,153
1991-7308-c243-s367,1:20:00,80,5,2,41,61,31,41,14,20,0,1,45,61,6,34,15,27,2,3,11,10,21,61,66,122,1,5,34,61,28,34,12,27,1,3,40,61,10,41,6,20,1,1,10,11,16,61,56,122
1991-7308-s424-r023,1:48:00,108,3,2,49,87,36,49,19,38,1,3,55,87,17,49,16,33,3,10,12,12,33,82,88,169,5,1,49,82,32,49,17,33,7,10,49,82,13,49,19,38,2,3,12,12,32,87,81,169
1991-7308-s367-w035,1:49:00,109,3,7,66,99,42,66,16,33,4,8,58,99,19,50,13,28,5,9,15,14,32,78,90,177,3,3,50,78,31,50,15,28,4,9,46,78,24,66,17,33,4,8,14,15,41,99,87,177
1991-7308-l206-b028,2:10:00,130,6,2,55,96,39,55,25,41,2,4,64,96,18,62,10,33,2,8,15,16,28,95,92,191,8,3,62,95,44,62,23,33,6,8,67,95,16,55,16,41,2,4,16,15,32,96,99,191
1991-7308-a031-s055,1:20:00,80,1,3,42,63,26,42,13,21,4,6,39,63,13,28,11,19,3,5,8,7,24,47,63,110,1,0,28,47,15,28,8,19,2,5,23,47,16,42,8,21,2,6,7,8,24,63,47,110
1991-7308-r023-b350,1:30:00,90,4,2,40,72,33,40,14,32,7,8,47,72,13,41,21,36,4,8,10,11,34,77,81,149,2,2,41,77,28,41,15,36,4,8,43,77,7,40,18,32,1,8,11,10,25,72,68,149
1991-7308-s351-f031,1:07:00,67,7,1,32,49,28,32,12,17,0,0,40,49,15,42,9,22,2,9,10,10,24,64,64,113,2,0,42,64,27,42,13,22,7,9,40,64,4,32,5,17,0,0,10,10,9,49,49,113
1991-7308-w035-k016,1:39:00,99,4,2,30,65,23,30,21,35,3,4,44,65,9,35,22,32,3,9,10,10,31,67,75,132,4,5,35,67,26,35,10,32,6,9,36,67,7,30,14,35,1,4,10,10,21,65,57,132
1991-7308-c243-m093,1:53:00,113,6,3,48,68,38,48,11,20,1,2,49,68,15,51,25,38,4,15,12,12,40,89,89,157,9,2,51,89,36,51,13,38,11,15,49,89,10,48,9,20,1,2,12,12,19,68,68,157
1991-7308-w136-r186,1:25:00,85,2,0,0,60,30,40,14,20,0,0,44,60,15,45,18,29,3,8,9,10,33,74,77,134,3,3,45,74,30,45,11,29,5,8,41,74,10,40,6,20,0,0,10,9,16,60,57,134
1991-7308-b051-s443,3:01:00,181,2,0,0,120,59,88,16,32,11,14,75,120,17,69,37,62,4,9,17,17,54,131,129,251,11,17,69,131,52,69,25,62,5,9,77,131,29,88,16,32,3,14,17,17,45,120,122,251
1991-7308-h223-p014,2:32:00,152,3,3,31,62,24,31,19,31,0,2,43,62,21,45,13,28,5,10,12,12,34,73,77,135,0,1,45,73,24,45,15,28,5,10,39,73,7,31,12,31,2,2,12,12,19,62,58,135
1991-7308-k181-r193,1:03:00,63,3,0,0,46,18,22,16,24,0,0,34,46,6,22,17,25,4,7,8,8,23,47,57,93,0,4,22,47,16,22,8,25,3,7,24,47,4,22,8,24,0,0,8,8,12,46,36,93
1991-7308-k030-p004,1:11:00,71,6,1,31,54,24,31,13,23,0,0,37,54,15,37,17,23,4,8,8,8,32,60,69,114,2,2,37,60,22,37,6,23,4,8,28,60,7,31,10,23,0,0,8,8,17,54,45,114
1991-7308-s367-j008,1:29:00,89,1,4,44,80,30,44,20,36,8,10,50,80,14,42,17,27,3,10,11,10,31,69,81,149,3,4,42,69,28,42,10,27,7,10,38,69,14,44,16,36,2,10,10,11,30,80,68,149
1991-7308-s331-e106,0:57:00,57,9,0,0,48,25,28,15,20,0,0,40,48,8,27,11,23,2,4,10,9,19,50,59,98,4,1,27,50,19,27,12,23,2,4,31,50,3,28,5,20,0,0,9,10,8,48,39,98
1991-7308-z006-k021,1:59:00,119,19,4,56,101,45,56,25,45,9,10,70,101,6,41,16,43,1,2,15,15,22,84,92,185,8,2,41,84,35,41,27,43,1,2,62,84,11,56,20,45,1,10,15,15,31,101,93,185
1991-7308-s424-c028,1:28:00,88,2,1,45,61,32,45,4,16,7,9,36,61,25,45,9,17,6,16,8,9,34,62,70,123,1,0,45,62,20,45,8,17,10,16,28,62,13,45,12,16,2,9,9,8,25,61,53,123
1991-354-f164-b040,2:35:00,155,11,2,70,114,54,70,22,44,7,11,76,114,37,92,11,27,4,8,17,16,48,119,124,233,1,1,92,119,55,92,16,27,4,8,71,119,16,70,22,44,4,11,16,17,38,114,109,233
1991-354-f164-k024,2:21:00,141,8,0,0,113,45,63,20,50,8,13,65,113,26,66,16,35,6,11,17,17,42,101,107,214,0,1,66,101,40,66,19,35,5,11,59,101,18,63,30,50,5,13,17,17,48,113,107,214
1991-354-b040-p198,1:27:00,87,1,0,0,76,34,59,11,17,4,6,45,76,22,39,13,31,4,10,10,10,35,70,80,146,2,1,39,70,17,39,18,31,6,10,35,70,25,59,6,17,2,6,10,10,31,76,66,146
1991-354-b040-m048,1:08:00,68,2,1,37,49,25,37,6,12,4,6,31,49,24,47,6,8,6,11,8,9,30,55,61,104,0,1,47,55,23,47,2,8,5,11,25,55,12,37,6,12,2,6,9,8,18,49,43,104
1991-354-h029-w011,1:15:00,75,1,2,37,62,28,37,15,25,0,0,43,62,10,24,9,24,3,5,9,9,19,48,62,110,2,1,24,48,14,24,15,24,2,5,29,48,9,37,10,25,0,0,9,9,19,62,48,110
1991-354-p198-s015,1:10:00,70,1,3,37,61,23,37,15,24,2,3,38,61,19,41,11,22,4,11,9,9,30,63,68,124,3,2,41,63,22,41,11,22,7,11,33,63,14,37,9,24,1,3,9,9,23,61,56,124
1991-354-c009-h029,1:42:00,102,7,2,23,80,19,23,30,57,6,9,49,80,11,31,16,28,4,7,11,10,27,59,76,139,3,5,31,59,20,31,12,28,3,7,32,59,4,23,27,57,3,9,10,11,31,80,63,139
1991-354-s102-a028,1:14:00,74,2,1,46,73,30,46,10,27,7,10,40,73,15,31,17,25,6,9,9,9,32,56,72,129,1,4,31,56,16,31,8,25,3,9,24,56,16,46,17,27,3,10,9,9,33,73,57,129
1991-354-j084-s102,1:02:00,62,1,1,25,45,14,25,16,20,2,4,30,45,20,35,12,20,6,11,8,8,32,55,62,100,2,0,35,55,15,35,8,20,5,11,23,55,11,25,4,20,2,4,8,8,15,45,38,100
1991-354-k024-m035,1:13:00,73,1,0,0,56,33,44,8,12,2,3,41,56,13,37,17,26,4,6,10,9,30,63,71,119,1,2,37,63,24,37,9,26,2,6,33,63,11,44,4,12,1,3,9,10,15,56,48,119
1991-354-j084-c009,2:22:00,142,6,5,64,100,45,64,20,36,1,5,65,100,17,62,40,68,5,19,16,17,57,130,122,230,16,6,62,130,45,62,28,68,14,19,73,130,19,64,16,36,4,5,17,16,35,100,108,230
1991-354-f164-v002,1:12:00,72,7,0,0,54,23,32,13,22,0,0,36,54,20,42,11,22,4,8,8,8,31,64,67,118,1,4,42,64,22,42,11,22,4,8,33,64,9,32,9,22,0,0,8,8,18,54,51,118
1991-354-c009-z045,1:14:00,74,2,0,0,50,19,24,17,26,0,0,36,50,21,49,15,23,4,16,8,8,36,72,72,122,7,4,49,72,28,49,8,23,12,16,36,72,5,24,9,26,0,0,8,8,14,50,50,122
1991-354-j084-o076,1:03:00,63,3,0,0,61,28,39,12,22,0,0,40,61,7,25,13,20,4,6,8,8,20,45,60,106,1,2,25,45,18,25,7,20,2,6,25,45,11,39,10,22,0,0,8,8,21,61,46,106
1991-354-j084-v037,1:06:00,66,3,2,32,59,23,32,17,27,2,3,40,59,12,30,14,26,4,6,9,9,26,56,66,115,2,2,30,56,18,30,12,26,2,6,30,56,9,32,10,27,1,3,9,9,19,59,49,115
1991-354-b040-c260,2:27:00,147,3,2,56,94,37,56,21,38,3,6,58,94,30,72,12,34,3,15,12,12,42,106,100,200,4,1,72,106,42,72,22,34,12,15,64,106,19,56,17,38,3,6,12,12,36,94,100,200
1991-354-f164-h228,1:26:00,86,3,2,36,60,25,36,11,24,5,8,36,60,23,40,13,26,6,13,10,10,36,66,72,126,2,1,40,66,17,40,13,26,7,13,30,66,11,36,13,24,3,8,10,10,24,60,54,126
1991-354-h029-n025,1:53:00,113,3,4,58,84,39,58,13,26,8,11,52,84,15,56,15,27,3,7,13,14,30,83,82,167,4,1,56,83,41,56,12,27,4,7,53,83,19,58,13,26,3,11,14,13,32,84,85,167
